0	9  7  0  3  4  6  8  3  4  8  
1	6  2  1  4  2  1  3  2  4  4  
2	8  0  2  1  2  4  4  2  0  5  
3	4  2  6  5  1  7  3  0  1  6  
4	2  2  3  4  0  4  3  1  6  3  
5	2  4  7  8  8  4  3  7  1  7  
6	1  9  5  7  0  8  8  3  1  5  
7	5  7  0  5  4  3  8  9  8  6  
8	3  9  4  8  9  7  0  1  8  8  
9	3  2  6  1  1  6  3  8  1  5  
10	0  6  0  7  7  9  6  7  3  0  
11	4  0  7  3  6  1  7  9  7  4  
12	6  1  1  7  6  1  6  9  6  3  
13	6  2  9  9  5  0  3  6  7  9  
14	9  8  3  1  1  4  0  7  9  2  
15	4  0  5  8  3  6  7  7  5  7  
16	4  3  0  7  0  6  3  9  1  7  
17	4  8  3  9  0  8  2  8  5  9  
18	7  1  8  6  7  6  5  3  2  1  
19	6  2  6  9  1  6  3  1  6  6
